job_title,Number_of_Jobs,Average_Rating,Average_Salary
Petrophysics Data Analyst-G&G Ops Specialist,8,3.6,0.0
AI Data Scientist,8,3.81,0.0
QA - Automation Testing (Senior Engineer / Engineer),8,4.0,0.0
Tableau Developer,8,3.84,0.0
Senior Data Center Engineer,8,3.4,0.0
Custom Software Engineer,8,3.7,0.0
"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",8,3.8,0.0
Data Engineer - GCP & Big Query(5-10yrs)-@Infosys,8,3.5,0.0
Flutter Developer,8,3.54,0.0
CA Business analyst,8,3.6,14.5
Senior Business Systems Analyst,8,3.55,0.0
AI Developer,8,3.85,0.94
Data Engineer - Databricks,8,3.7,9.19
Data Research Analyst,8,3.88,0.0
Technical Architect,8,3.36,4.69
Business Analyst (US Healthcare / Medicaid) with SQL,8,3.6,0.0
Senior Consultant,8,3.56,1.88
Data Entry Operator,7,3.56,0.29
python developer,7,3.21,0.0
Senior Product Manager,7,3.56,0.0
Full Stack .Net Developer,7,3.61,1.79
Digital Business Analyst,7,3.43,0.0
Data Engineer II,7,3.63,0.0
Agentic AI Engineer,7,3.56,10.18
Senior Salesforce Developer,7,3.4,3.57
AI Automation Engineer,7,3.64,0.0
Functional Analyst,7,3.77,0.0
IT Recruiter,7,3.5,0.0
Gcp Developer(5-10yrs)-Infosys,7,3.5,0.0
Mis Analyst,7,3.71,1.07
Project Coordinator,7,3.96,0.34
Gen AI Engineer,7,3.81,0.0
Petrophysics Data Analyst-G&G Ops Specialist 5+ Yrs,7,3.6,0.0
Technical Project Manager,7,3.47,3.21
Python Full Stack Developer,7,3.66,0.0
Data Scientist I,7,3.51,0.0
Senior Engineer - Data Engineering,7,3.4,0.0
Business Consultant,7,3.56,0.0
Business Analyst II,7,3.57,0.0
Manager - Business Analyst,7,3.67,0.0
Market Research Analyst,7,3.9,0.79
Microsoft Fabric Data Engineer,7,3.56,2.71
Ml Engineer,7,3.57,9.64
Lead Machine Learning Engineer,7,3.54,0.0
Business Analysis Professional,7,3.53,0.0
Business Analyst Insurance Domain,7,3.6,0.0
Lead AI/ML Engineer,7,4.01,11.79
Sales Manager,7,3.46,1.21
Application Lead,7,3.7,0.0
SFMC Business Analyst,7,3.6,0.0
Data Engineer-Data Integration,7,3.9,0.0
Data Science Intern,7,3.91,8.03
Associate Data Analyst,7,3.6,0.0
Account Executive,7,3.61,0.0
Associate Data Scientist,7,3.64,0.0
Associate Analyst,7,3.96,0.61
Android Developer,6,3.87,2.33
Application Support Engineer,6,3.7,0.0
Data Engineer - GCP & Big Query-@Infosys,6,3.5,0.0
Data Integration Lead,6,3.4,1.33
Area Sales Manager,6,3.88,0.0
Mainframe Developer,6,3.5,10.08
Junior Data Analyst,6,3.13,2.71
SEO Executive,6,3.78,0.0
Lead GCP Data Engineer,6,3.83,12.17
Senior Snowflake Cortex Data Scientist,6,3.6,0.0
MLOPS Engineer,6,3.58,11.67
Scrum Master,6,3.72,0.0
Business Analyst-GTT,6,3.4,0.0
Software Development Engineer,6,3.4,1.17
Senior Java Developer,6,3.62,2.5
Data Engineer Lead,6,3.85,0.0
Data Scientist-Artificial Intelligence,6,3.93,0.0
Data Stage Developer,6,3.55,3.75
Data Scientist II,6,3.52,0.0
Data Scientist - RL,6,3.6,0.0
Data Engineer with GCP,6,3.6,33.75
Data Analysts,6,3.42,0.0
Data Quality Analyst,6,3.65,0.0
Computer Operator and Programming Assistant,6,4.08,0.0
Senior Data Scientist I,6,3.63,0.0
Computer Vision Engineer,6,3.52,0.0
Backend Engineer,6,3.92,0.0
DATA SCIENTIST,6,3.57,0.0
Power Bi Developer,6,3.42,0.0
Presales Consultant,6,3.68,0.0
Business Systems Analyst,6,3.93,0.0
Business analyst,6,3.8,0.0
Cloud Data Engineer - BLR,6,4.1,0.0
Engineer,6,3.4,0.0
GIS Analyst,6,3.27,0.0
Technical Program Manager,6,3.75,0.0
Data Engineering Professional,6,3.28,0.0
Data Operations Analyst,6,3.77,0.0
Test Lead - Data Automation,6,3.4,0.0
Sr. Machine Learning Engineer,6,3.48,0.0
Data Engineer (Snowflake),6,3.27,0.0
Principal Machine Learning Engineer,6,3.62,0.0
Data Architect- Databricks,6,4.03,0.0
QA Engineer,6,3.38,2.88
Senior Financial Analyst,6,3.92,3.08
Full Stack Python Developer,6,3.93,0.0
Gen AI Data Scientist,6,3.5,0.0
HR Representative - HR Automation analyst,6,3.6,0.0
Generative AI_M,6,3.5,0.0
Big Data Analyst,6,3.6,0.0
Senior Business Analyst - Healthcare,6,3.4,0.0
Business Process Designer,6,3.7,0.0
Insurance Business Analyst(CH),6,3.4,0.0
AI Architect,6,3.93,0.0
"Data Engineer - ETL,AWS",5,4.1,0.0
Technical Consultant,5,4.48,0.0
Azure Administrator(5-10yrs)-Pan India,5,3.5,0.0
Data Engineer-Data Platforms,5,3.9,0.0
Workday Business Analyst,5,3.8,0.0
"Data Engineer - Python Scripting, Snowflake - BLR",5,4.1,0.0
Sr Data Engineers - AI/ML,5,4.1,0.0
Sr Developer - Data Engineering,5,4.1,0.0
Senior Technical Analyst,5,2.9,0.0
Senior Staff Engineer (IBM APP Connect),5,3.9,0.0
ServiceNow Business Process Consultant,5,3.4,0.0
Marketing Manager,5,3.16,0.0
Measurement & Report Senior Analyst,5,3.7,0.0
Data Governance Analyst,5,3.66,3.5
Sales Executive,5,3.76,0.0
Python AI Engineer,5,3.68,0.0
BI Analyst,5,3.94,0.0
Technical Lead- Data Engineering,5,2.9,0.0
Data Science Manager,5,3.58,0.0
Data Scientist (Computer Vision),5,3.94,0.0
SPARK Data Onboarding Engineer,5,4.1,0.0
Azure DataBricks - Data Engineering,5,3.6,0.0
Internship Junior Data Analyst,5,3.6,0.0
Junior AI Engineer (India),5,3.6,0.0
Lead Data Integration Architect,5,3.5,0.0
AI Ml Engineer,5,3.94,3.95
Lead Data Science,5,3.9,0.0
Rpa Developer,5,3.6,1.8
Lead Business Analyst- Product,5,3.6,0.0
Lead Data Engineer (Integration Specialist),5,3.5,0.0
React Developer,5,3.68,0.0
Regional Sales Manager,5,3.6,0.0
AI Business Analyst,5,3.72,1.5
Responsible AI Tech Lead,5,3.7,0.0
Business Analyst | Offshore,5,4.1,0.0
Business Analyst - Project Management Track,5,3.3,0.0
Manager Business Analysis,5,3.6,0.0
Senior Backend Developer,5,3.82,0.0
Senior Application Developer,5,3.52,0.0
Senior Artificial Intelligence/Machine Learning Engineer,5,3.52,0.0
Business Analyst:,5,3.6,0.0
AI Platform Engineer,5,3.46,0.0
Business Analyst - Customer Platform,5,1.6,0.0
Lead Analyst,5,3.04,0.0
Business Data Analyst,5,3.92,2.3
Business Development Analyst,5,3.72,1.1
Senior Accountant,5,3.56,2.8
AWS Data Engineer - Support Engineer Freelancer,5,3.6,0.0
Machine Learning Engineer (Mid-Level),5,3.6,0.0
Business Advisory Analyst,5,3.7,0.0
Business Analyst (BA),5,3.58,0.0
Business Analyst ( Lead ),5,3.5,0.0
Business Analyst (Global Banking) - Digital Transformation,5,3.8,0.0
Business Analyst - (Guidewire Policy Center),5,3.6,0.0
"Software Engineer, Data Infrastructure & Acquisition",5,2.3,0.0
Sr Business analyst _Infosys,5,2.8,0.0
Sr Data Analyst,5,4.04,0.0
Specialist-Data Modelling and Engineering,5,4.1,0.0
Solutions Architect,5,3.48,0.0
"Manager, Machine Learning",5,2.9,0.0
Lead-Data Modelling and Engineering,5,4.1,0.0
Lead OR Scientist,5,2.7,0.0
Senior/Lead Data Scientist,5,3.3,9.0
Fullstack Python Developer,5,3.62,4.85
Incentive Compensation Analyst,5,3.6,0.0
Business Analyst - Business Analysis -,5,4.1,0.0
I&F Decision Sci Practitioner Specialist,5,3.7,0.0
Business Process Architect,5,3.7,0.0
Business Interlock Analyst,5,3.7,0.0
GCP Cloud Data engineer,5,2.8,0.0
Palantir Developer,5,3.44,0.0
Payer Data Analyst,5,3.6,0.0
PM - Data Professional,5,3.8,0.0
Programmer / Data Analyst,5,3.6,0.0
Product/Data Analyst,5,5.0,0.0
Integration Engineer,5,3.66,0.0
Junior Data Science Associate Consultant,5,3.6,0.0
AI Software Engineer,5,2.88,0.0
Gujarati Linguistic Project Professional,5,3.6,0.0
Junior Data Scientist,5,3.76,0.0
Senior Business Analyst Profiles Strategic Project Support,5,2.8,0.0
Big Data Engineer_C,5,3.6,0.0
Senior Data Developer - Azure Databricks+cosmos DB + SQL + ETL+SSIS,5,3.6,0.0
AI Data Operations Intern,5,3.6,0.0
Senior Business Analyst SAP IBP,5,3.2,0.0
Senior Business Analyst - WMS,5,3.6,0.0
DATA ENTRY Professional,5,2.9,0.0
ERP Business Analyst,5,4.1,0.0
ETL Developer,5,3.56,0.0
Digital Marketing Executive,5,2.72,0.0
Digital Technology Experienced Professional - Data Science,5,4.1,0.0
Drone Engineer Intern,5,2.2,14.0
Dot Net Full Stack Developer,5,3.52,0.0
ERP HCM Business Analyst,5,3.4,0.0
Field Officer,5,3.52,0.0
Field Executive,5,3.52,0.0
FP&A Analyst,5,3.74,2.6
Business Systems Analyst (Cloud Supply Chain),5,3.9,0.0
ARC analyst,5,3.54,0.0
Bussiness Analyst,5,3.6,0.0
Cloud Data Engineer - Databricks on AWS/Scala,5,3.6,0.0
Executive - MIS,5,3.82,0.0
Power Apps Developer,5,3.6,0.0
AI ML Engineer,5,3.92,0.0
Business Analyst - Commercial Insurance,5,3.6,0.0
Business Analyst - CashOS,5,3.6,0.0
Data Warehouse Engineer,5,3.6,0.0
Data Verification Analyst,5,3.4,0.0
Databricks Data Engineer (2 Open Roles),5,3.6,0.0
Data Warehouse Consultant/Data Engineer (ETL + SSIS + SSRS + SSAS),5,3.5,0.0
Deputy Manager,5,3.24,2.4
"Databricks, Pyspark, azure-admin-@Infosys",5,3.5,0.0
Data & AI Intern,5,4.4,14.0
Snowflake Developer,5,3.46,1.3
AI / ML Developer,5,3.8,0.0
Senior MLOps Engineer,5,3.5,0.0
Senior Python Engineer,5,3.6,0.0
DATA ENGINEERING INTERN,5,3.8,14.0
Data Engineer | Infosys,5,2.8,0.0
Data Engineer ADB,5,2.8,0.0
Data Analytics and AI Intern,5,4.4,14.0
Data Engineer - SSIS and Tableau,5,3.2,0.0
Data Analytics Engineer,5,3.4,0.0
Data Scientist Intern Rigbot,5,4.3,14.0
Data Specialist,5,3.62,0.0
"Data Analyst Fresher , Data Analytics",5,3.6,6.75
Data Scientist Shalini,5,2.8,0.0
Data Verifying Operator,5,3.6,0.0
Principal Data Engineer,5,3.64,8.0
RPA Business Analyst/ Scrum Master,5,4.1,0.0
"Data Business Analyst - Business Analyst (Finance,Risk)",5,4.1,0.0
"Principal Engineer, FASTAPP (Mendix)",5,3.9,0.0
Quantitative Analyst,5,3.88,0.0
Data Engineer with Fabric,5,3.9,0.0
Staff Data Scientist,5,3.52,0.0
Sr. Operations Research Analyst,5,3.6,0.0
Sr. BI Analyst,5,2.1,0.0
Staff Data Engineer,5,3.9,0.0
"Software Engineer, iOS Core Product",5,2.3,0.0
Data Engineer/Senior Data Engineer- Azure DigiOps,5,4.0,0.0
Software Engineer II,5,3.76,0.0
System Analyst,5,3.5,8.6
Data Engineering Manager,5,3.56,0.0
Data Engineering Consultant,5,3.9,4.5
Data Engineering and Advanced Analytics Sr Manager,5,3.5,0.0
Artificial Intelligence Developer -Freelancer- Support Engineer,5,3.6,0.0
Technical Specialist / Data Engineer - Deven Infotech,5,3.6,0.0
Technical Recruiter,5,3.9,0.0
Walk-in || Gcp Data Engineer,5,3.3,0.0
Walk-in || Data Scientist,5,3.3,0.0
Website Developer,4,3.6,0.0
US IT Recruiter,4,3.75,1.25
UI/UX Designer,4,3.68,0.0
Technical Data Analyst,4,3.38,3.0
"Analyst, Transaction Advisory Services",4,3.4,0.0
Analyst - Business Consulting Risk - Process & Controls,4,3.4,0.0
Analyst - Business Consulting Risk - AMI - CNS -Process & Controls,4,3.4,0.0
Alation Data Catalog,4,3.6,0.0
Ai Engineer,4,3.45,2.5
Advanced Analytics Data Scientist,4,3.95,0.0
Data Engineer Power BI Developer,4,4.2,0.0
Data Engineer III,4,3.78,0.0
Data Engineer - Snowflake,4,3.62,6.0
Data Modelers,4,4.9,0.0
AIML Engineer,4,3.62,1.5
AL ML Developer,4,3.38,0.0
Data Engineering Specialist,4,3.53,0.0
Data Science Trainer,4,3.5,1.12
Data Science Practitioner,4,3.7,0.0
Data Quality Engineer (Databricks+PySpark),4,3.7,0.0
Data Platform Engineer (Snowflake),4,3.6,0.0
Data Engineer (Databricks),4,4.0,6.25
Data Engineer (Enterprise Content Management),4,3.6,0.0
Data Annotator,4,3.08,0.0
Data Analyst Lead,4,3.85,0.0
Data Solution Architect,4,3.4,0.0
Data Scientists,4,3.25,0.0
Data Scientist Manager,4,3.42,0.0
Data Scientist III,4,3.62,0.0
Data Scientist / Machine Learning Engineer,4,3.45,10.38
Data Scientist AIML,4,3.3,0.0
AI/ML Developer,4,4.07,0.0
Delay Analyst,4,1.2,0.0
Databricks Engineer,4,3.68,3.25
Databricks Developer,4,3.5,0.0
Database Developer,4,3.28,0.0
Data Analysis Professional,4,3.52,0.0
Data (Systems) Engineer,4,3.6,0.0
DATA ANALYST,4,3.58,3.5
Customer Success Manager,4,3.8,0.0
Credit Analyst,4,3.6,0.0
Cloud Engineer,4,3.65,4.38
Engineer - Data Engineering,4,3.35,0.0
AI/ Machine Learning Engineers/ Leads/ Architects/ Mngrs- Fortune 500,4,3.6,27.5
AI/ Machine Learning Managers/ Architects/ SM/ AD/ AVP- Fortune 500,4,3.6,52.5
Electrical Project Engineer (Design) For Data Centre,4,3.2,0.0
Domestic Data Entry Operator_V2,4,3.4,0.0
Digital Marketing Analyst,4,3.88,3.5
Fraud Analyst,4,3.52,19.88
Financial Analyst IND,4,3.6,0.0
Executive Assistant To Director,4,3.75,4.12
"Engineering, Product & Data Science Future Opportunities",4,2.9,0.0
CPQ/CLM IT Business Analyst/Config Engineer,4,4.2,0.0
Business Transformation Assoc Manager,4,3.7,0.0
Business Professional - Program Manager 2,4,3.6,0.0
Business Process Analyst,4,3.4,0.0
Gen AI Developer,4,3.65,5.31
GCP Data Engineer - BigQuery,4,3.3,0.0
Fullstack Data Engineer,4,3.58,3.75
Full-Stack Developer,4,3.0,0.0
Full Stack Engineer,4,3.8,0.0
"IT Applications Analyst, Business Analyst",4,3.0,0.0
I&F Decision Sci Practitioner Sr Analyst,4,3.7,0.0
Growth Analyst,4,3.15,0.0
AI Solution Architect,4,3.72,0.0
Lead - Data Engineer,4,3.85,0.0
Junior Python Developer,4,4.25,1.06
Junior Data Engineer,4,3.4,1.0
Integration Developer,4,3.55,5.75
Lead Data Scientist- Reinforcement Learning,4,4.0,0.0
Lead Data Engineer - Azure,4,4.4,0.0
Business Interlock Senior Analyst,4,3.7,0.0
Business Development Intern,4,3.65,3.52
Business Development Manager (Hotels),4,4.0,0.0
Business Analytics Process Manager,4,5.0,0.0
ML Engineer Gen AI & LLM,4,2.9,0.0
MIS EXECUTIVE,4,3.78,0.0
Legal Business Analyst,4,3.6,0.0
"Lead I, Software Development/Engineering",4,4.0,0.0
Mep Engineer - Data Centre,4,3.2,0.0
Master Data Management Analyst,4,3.5,13.38
Machine learning Engineer,4,3.35,0.0
Machine Learning Engineer II,4,3.9,0.0
Business Analyst Payments,4,3.65,0.0
Business Analyst / Product Manager,4,2.6,0.0
Business Analyst / Product Owner,4,3.52,3.6
Business Analyst - Telecom,4,3.6,0.0
Principal AI Engineer,4,3.78,0.0
Power BI Senior Engineer,4,4.0,0.0
Power BI - Engineer,4,4.0,0.0
PYTHON DEVELOPER,4,3.38,0.0
Operations Manager,4,2.95,0.0
Product Data Analyst,4,3.68,3.38
Python Developers,4,3.58,0.0
Python Engineer,4,3.38,1.12
Python / Django Developer,4,4.12,0.0
Senior AI ML Engineer,4,3.68,0.0
Research Associate,4,3.5,0.62
Senior Backend Engineer,4,2.9,0.0
Senior AWS Data Engineer,4,3.5,4.75
Senior AI Data Engineer,4,3.7,0.0
Business Analyst (Project Manager),4,3.6,23.75
Business Advisory Senior Analyst,4,3.7,0.0
Big Data Solution Architect,4,4.4,0.0
Senior Data Consultant,4,3.78,0.0
Senior Consultant- Data Governance,4,4.0,0.0
Senior Business Intelligence Analyst,4,4.2,8.12
Senior Business Associate,4,3.5,1.56
Senior Executive - Debt Management Services - SME,4,3.9,0.0
Senior Engineer,4,3.6,0.0
Senior Engineer - Data Analytics,4,3.35,0.0
Senior Data Engineer I,4,3.6,0.0
Senior Data Engineer - Databricks,4,3.08,0.0
"Senior Data Engineer (GCP, BigQuery, Looker) [AS233]",4,3.3,0.0
Backend Python Developer,4,3.48,0.12
Backend Developer,4,3.72,0.0
Back Office Executive,4,3.42,0.0
BIG DATA& JAVA DEVELOPER,4,3.6,0.0
Azure Senior Data Engineer,4,3.5,0.0
Azure Big Data Engineer - Pyspark,4,3.6,0.0
Azure AI/ML Engineer,4,3.3,0.0
Azure Administrator(5-10yrs)-@Infosys,4,3.5,0.0
Senior Staff Engineer - Data Engineering,4,3.35,0.0
Senior Software Engineer I,4,3.7,0.0
Senior Principal Engineer,4,3.6,0.0
Senior ML Engineer,4,3.53,13.12
Senior Generative AI Engineer,4,3.5,0.0
Senior Fullstack Developer,4,3.35,0.0
Software Architect,4,2.98,0.0
Servicenow Developer,4,3.55,0.0
ServiceNow Developer,4,3.18,0.0
Sr Full Stack Developer,4,3.6,0.0
"Software Engineer, Platform",4,2.3,0.0
Team Leader / Call Quality Analyst,4,4.7,0.0
Staff Engineer (IBM APP Connect),4,3.9,0.0
Staff Engineer,4,3.45,0.0
Sr Python Developer,4,3.55,0.0
Asst. Business Manager,4,3.6,0.0
Associate - Marketing Communication & Business Development,4,3.6,0.0
.NET Application Developer,4,3.4,8.81
Business Analyst III,3,3.67,0.0
Business Central Developer,3,3.67,0.0
"Business Banking Advisor, Analyst",3,3.8,0.0
Business Associate,3,3.17,0.0
Walk-in || Big Data Engineer,3,3.3,5.0
Walk-in || Databricks Developer/Lead,3,3.3,0.0
Adobe Learning Manager (ALM) - SME / Sr. Business Analyst,3,3.6,18.33
Adobe Creative Cloud (Junior Business Analyst),3,3.6,0.0
Walk-in || Data Science Engineer,3,3.5,0.0
Walk-in || Python Developer Lead,3,3.3,0.0
Business Development Associate,3,3.5,0.9
Business Development Representative,3,3.77,0.0
Business Development Manager Sales Dental Implants Manager,3,3.6,0.0
Business Development Manager / Business Analyst,3,3.6,0.0
Business Intelligence Analyst I,3,3.9,0.0
Business Requirements Analysis,3,3.6,12.5
Business Analyst Core Banking,3,3.4,15.0
Valuation Analyst,3,3.6,0.0
Buyside Equity Research Analyst,3,3.6,24.17
Capital Market Custody Operations Team Member-BPS,3,3.4,0.0
Campaign Management Analyst,3,3.67,0.0
Category Analyst,3,4.1,1.67
Chief Financial Officer,3,4.07,19.17
Cloud Data Architect,3,3.5,0.0
Commissioning (Cx) Engineer - Mechanical,3,2.9,0.0
Commissioning (Cx) Engineer - Electrical,3,2.9,0.0
Computer Operator,3,3.6,0.0
Consultant/ Senior Associate- Data Scientist with Gen AI,3,3.3,0.0
Controls(ELV) Engineer,3,2.9,0.0
Credit Analyst - Large/Mid Corporate-2+Years - Mumbai/Gurgaon,3,3.6,0.0
Credit Risk Business Analyst,3,3.6,0.0
Customer Success Executive,3,4.13,0.83
DBT Data Engineer,3,3.47,6.67
DOTNET FULLSTACK DEVELOPER,3,4.0,0.0
Technology Architect,3,3.7,0.0
Test Data Analyst,3,3.57,0.0
Trade Support Analyst (with capital markets experience),3,3.6,0.0
Treasure Data Engineer,3,3.1,0.0
"Data Analyst (NetSuite, Workday, Snowflake)",3,3.6,0.0
Business Analyst - Payments,3,3.63,15.0
Data Analyst II,3,3.8,0.0
Data Analyst Lead - Python / SQL / Advance Excel,3,3.6,0.0
Data Analytic | Fresher | Business Analytics,3,3.6,4.25
Data Analytics Manager,3,4.27,0.0
Data Analytics Intern,3,3.23,4.67
Data Architect - AEP,3,4.6,0.0
Data Centre Engineer,3,3.67,0.0
"Data Eng, Mgmt & Governance Specialist",3,3.7,0.0
Business Analyst - IT,3,3.6,14.5
Technical Assistant,3,3.53,0.0
Technical Architect | Offshore,3,4.1,0.0
Technical Marketing & Communications Content Strategist,3,3.6,0.0
Technical Sales Engineer,3,4.7,0.0
Technical Writer,3,3.9,0.0
Data Engineer (Kafka),3,3.3,0.0
Data Engineer - Azure Databricks,3,3.53,0.0
Data Engineer - Assistant Manager,3,3.4,0.0
Data Engineer - Python,3,3.23,0.0
"Data Engineer - Python, SQL, API",3,3.4,0.0
Data Engineer / Analyst,3,3.4,0.0
Data Engineer Data Integration,3,3.6,0.0
Data Engineer Intern,3,4.1,9.33
Data Engineer SAP Datasphere -Bang/ Hyd/ Chen/ Pune/ Mum/Gurg/ Bhopal,3,3.6,0.0
Data Engineer Python,3,4.1,0.0
AIML Data Scientist,3,3.6,0.0
AI/Machine Learning Engineer,3,3.83,0.0
AI/ML/Generative AI Practice Lead,3,3.6,0.0
Business Analyst - BI,3,4.3,5.5
Tech Lead,3,3.4,0.0
Tech Analyst,3,3.37,0.0
AGM/GM Consulting Practices,3,3.63,0.0
Technical Analyst,3,3.27,0.0
Agile Coach,3,3.6,8.33
Technical Business Analyst (Mobile Banking),3,3.6,0.0
Technical Business Analysis Engineer III,3,3.4,0.0
Data Engineer-Pyspark,3,3.8,0.0
AWS Data Engineer | F2F Interview | 5+ yrs!!,3,3.6,25.0
Business Analyst (SmartCOMM & Documaker),3,3.6,9.17
Data Engineer-Data Platforms-Azure,3,3.9,0.0
Data Engineer-Data Platforms-AWS,3,3.9,0.0
Data Entry Professional,3,3.8,0.0
Data Governance Specialist,3,3.43,7.5
Data Governance Lead,3,3.7,5.83
Tax Azure Data Engineer,3,4.2,0.0
"Team Lead - Data Engineer (Java, GCP, Big Data, SQL)",3,3.8,0.0
Team Lead - Business Intelligence / Data Analyst,3,3.6,20.25
Team Leader,3,3.73,0.0
Data Loss Prevention Engineer,3,3.7,12.5
Data Integration Engineer,3,2.93,0.0
Data Migration Specialist,3,3.4,0.0
