company_name,Number_of_Jobs,Average_Rating
RIA Advisory,2,3.7
Ramesh Parasmal Jain & Co.,2,3.6
Ralph Lauren,2,3.9
Radon Global Tech Services Hyderabad,2,3.6
Radixweb,2,3.4
CEEW,2,3.5
V2SOLUTIONS,2,3.0
CRF - Chest Research Foundation,2,3.8
Skillnet Solutions,2,3.8
CBNITS,2,3.8
CBA Cross Border Associates,2,3.6
C2L BIZ,2,3.1
Snowrelic,2,1.6
Sndk Corp,2,4.2
"Allscripts(India) LLP, ultimately a subsidiary of Altera Digital Health Inc.,[Altera India]",2,3.7
Allies Business Hub,2,4.9
Alliance University,2,3.6
Alletec,2,4.1
Allen Digital,2,3.55
Allele Life Sciences,2,3.6
Vikruthi Technologies,2,3.6
Crayontek,2,5.0
Cpidroid,2,4.4
Coverfox,2,3.8
Credence Digital Marketing,2,2.8
Crossfit,2,5.0
Crimson,2,4.1
R For Rabbit Baby Products,2,3.3
Quytech,2,3.4
Quinite Technologies India,2,3.6
REPUTED MANUFACTURING & EXPORT HOUSE,2,3.6
Vipany Global Solutions,2,3.6
Violet Infosystems,2,2.0
Vinculum Solutions,2,2.3
Almonds Ai,2,4.3
BCT Consulting Private Limited,2,3.6
Tatvic Analytics,2,2.4
Quantum Phinance,2,3.7
Quantum Loop Ai,2,3.6
Visar Software Llp,2,3.6
Virtuoso Staffing Solutions,2,3.6
Aligned Automation,2,3.6
Aliengena Captive,2,1.7
AlgoAnalytics,2,4.0
REG Education & Immigration,2,3.6
R3coder,2,3.6
Quess Corp Limited,2,3.6
Qube Research And Technologies,2,3.0
Bajaj Financial Securities,2,4.2
Bain,2,3.7
Talisman Hr Solutions,2,3.6
BCforward India Technologies Pvt Ltd.,2,3.6
BCforward,2,3.6
Prudence Analytics Software Solutions,2,4.7
Quantum India Group,2,3.6
Quantfunda Solutions,2,3.6
Cyient,2,3.6
Cvviz Softwares,2,3.6
Qualitykiosk Technologies,2,3.2
Qualitest,2,3.6
D2K Technologies,2,2.6
Culture Holidays,2,3.6
DTC Infotech,2,3.0
Qloron Technology,2,4.1
Purple Marketing,2,3.6
DSS Imagetech,2,3.9
DMart,2,3.9
Dar Credit & Capital,2,3.8
Process360,2,3.8
Protocol Zone,2,3.6
Prospus Consulting,2,1.0
Propel Technologies Inc,2,3.5
Proounce,2,3.6
Danfoss,2,3.9
Twixor,2,4.0
TAO Digital,2,3.55
TRooTech,2,3.6
C1X,2,4.7
Byasa Tech Solutions,2,4.2
Butobox,2,3.6
Solulever,2,1.7
Solarwinds,2,3.5
Softweb Solutions,2,3.7
Softdel Systems,2,2.6
CG Infinity,2,3.0
Daiom,2,3.6
Data Software Research Company (DSRC),2,3.4
Prishatech India Pvt Ltd,2,3.6
Product based IT Company,2,3.6
Data Infovision P,2,4.9
Data First,2,3.6
Data Collection Infotech,2,3.0
Data Center Design,2,3.6
Vital Strategies,2,3.7
Visdum,2,3.6
Visara Human Capital Services,2,3.6
Pristine It Code,2,4.3
Dataorb Inc.,2,3.6
Datamatics Staffing Services Pvt Ltd,2,3.6
Datamatics,2,3.4
Datagrid Solutions,2,2.7
Prescience Decision Solutions,2,4.8
Preqin,2,3.7
Definitive Healthcare,2,3.7
Deepintent,2,2.8
Alcor,2,4.2
Akuntha Projects,2,4.0
Vitraya Technologies,2,3.3
Vitely Bio,2,3.7
BSI Group,2,4.1
BOT Tech,2,3.6
TechAffinity,2,4.3
Tech SMCSquared GCC,2,3.6
Dev Information Technology,2,3.4
Dentsply Sirona,2,3.7
Precisely,2,3.9
Precious Metal Recycling,2,3.6
Prayag Health,2,3.6
Praudyo Solutions Private Limited.,2,3.6
Prakash Software,2,3.4
Universo Realtors,2,4.5
Applied Data Finance,2,4.3
Appitsimple Infotek,2,4.1
US MNC,2,3.6
UKG,2,2.9
UFS Networks,2,3.6
Demandbase,2,3.6
Dell Technologies,2,3.8
Pinnacle Group Inc,2,2.9
Pinkerton,2,3.6
Pibit.ai,2,3.2
Poppulo,2,3.9
Polycab,2,4.0
Polestar,2,4.0
Pls Lawyers,2,3.9
Playo,2,2.7
Plative,2,2.5
Vodafone Idea Limited,2,3.9
Vlink,2,3.8
Phoenix Knowledge Management,2,3.6
Plastemartjobs,2,3.6
Planet Ecom Solutions,2,3.5
Pixiebytez Innovations,2,3.6
Dhruva Automation & Controls,2,3.8
Dharampal Satyapal Group (DS Group),2,4.0
Dgliger Consulting,2,3.8
Dexter Capital Advisors,2,4.1
Dexlab Analytics,2,5.0
Perficient India,2,4.9
Vulcury,2,3.6
Akrivis Engineering & Construction,2,3.1
Akamai,2,4.35
Volvo Auto,2,3.7
TrueTech Solutions,2,3.6
Pelltech Healthcare,2,3.1
Pedagogy,2,3.6
Diligent,2,3.0
Digiwagon,2,3.6
Digitide Solutions,2,3.6
Digital Piloto,2,4.0
Paxera Health,2,3.6
Pharmatek Consulting,2,3.6
Digiinterface,2,1.5
Digiboxx Technologies And Digital India,2,2.1
Diagnal Technologies,2,4.9
Peoplelogic Business Solutions,2,3.6
Peoplefy Infosolutions,2,3.6
People10,2,4.4
Tech Exactly,2,3.4
TecOrb,2,4.0
Teamlease Digital,2,3.6
BIZ2X Platform Private Limited,2,3.4
BIG4,2,3.6
BDS Services,2,3.1
Sonalika Tractors,2,3.8
Squareone Insights,2,3.9
TRUSTKLUB Consulting,2,3.6
Utthunga Technologies,2,2.7
Urban Company (UC),2,3.3
Upstox,2,3.5
Upstack,2,3.6
Upadpro Software & Services,2,2.3
Truefoundry,2,3.6
Truebil,2,3.8
Patch Infotech,2,4.2
Particle Black,2,4.2
Parkar Global Technologies,2,2.9
Parity Cube,2,4.4
Parex Technologies,2,5.0
Paramatrix Technologies,2,3.8
Pantheon Inc,2,3.5
Panj Solutions,2,3.6
Panasa,2,3.2
Dinjan Infotech,2,4.3
Dimension India Network (DIN),2,3.2
Panamoure,2,3.1
Paktolus Solutions,2,3.2
Pacific IT Consulting Pvt Ltd,2,3.6
Pacific Global Solutions,2,3.2
Otelier,2,3.7
Oswaal Books,2,4.0
PROTECTT.AI Labs,2,4.5
WPP Production,2,3.6
Aionomy,2,3.6
PRODAT,2,3.1
PM AM Corporation,2,2.9
Docyt,2,3.3
DnT Infotech,2,3.5
Dmacq Software,2,3.1
PENTOZ,2,2.3
PCI India,2,4.2
PB Partners,2,3.2
"Our Client is an AI Company, data engineering, and business consulting firm. Headquartered in Blr",2,3.6
Other MNC,2,3.6
Oplinnovate,2,2.6
Openlm India,2,2.3
Onprice Infotech,2,4.2
Oroprise Solutions,2,3.6
Dpdp Consultants,2,3.6
Dozee,2,3.7
Dotsolved Systems,2,3.6
Oriserve,2,2.7
Orangebits Software Technologies,2,4.0
Droom Media,2,3.6
Waters Corporation,2,4.1
Wappnet Systems,2,4.2
Optisol Business Solutions,2,3.8
Optimus Information,2,2.9
Opteamix,2,4.0
Dynamic Cables,2,4.4
Dunnhumby,2,3.7
Dson Infotech,2,3.6
Dselva Infotech,2,5.0
OnTime Global Pvt Ltd,2,3.6
Omnissa,2,3.6
Omnibridge Infotech,2,3.6
Omni Reach,2,4.7
Omega Healthcare,2,3.8
OneGTMLab,2,3.6
"One of the leading IT Firm in Government projects in India, UAE & USA",2,3.6
Ahom Technologies,2,3.6
Agnik International,2,2.6
Agm Infra Solutions Private Limited,2,3.6
Agm Infra Solutions,2,3.2
We Shine Academy,2,3.0
Wcities,2,2.2
Ohara IT Solutions,2,3.6
Oddball,2,3.6
Ebixcash Worldmoney,2,3.5
Walkaroo International,2,3.6
One of our Leading Software MNC,2,3.6
One of The MNC company,2,3.6
E Solutions It Services,2,3.6
Dynpro,2,3.6
Dynatech Systems,2,3.9
One Of the MNC company,2,3.6
EdgeVerve Systems,2,3.2
Edetek Inc,2,3.6
Ecozen Solutions,2,4.2
Ecosmob Technologies,2,4.1
Ecordon Solutions,2,5.0
Econ Climate Fund,2,3.6
EXL Services,2,3.6
EVERSANA India Pvt. Ltd,2,3.2
EUROPEAN MNC,2,3.6
EPPS INFOTECH PVT LTD,2,3.6
EIPL,2,3.7
Okta,2,2.3
Edufund,2,2.2
Eduberance,2,3.6
EduRun Group,2,3.6
Editorialist Yx,2,3.2
Nuvant Consulting Group,2,3.6
Nutralike Health Care,2,4.7
Eazy Erp Technologies,2,3.8
Eazy Dms,2,3.6
Easyrewardz Software Services,2,2.8
Eastvantage,2,2.7
Edhitch,2,3.6
Eglogics,2,3.7
Egdk,2,3.8
NuStar,2,3.6
Nthinsight,2,4.1
Ns3techsolutions,2,4.0
Ocrolus East,2,3.3
Objectways Technologies,2,3.1
Boston Scientific,2,4.0
Briefly,2,3.6
Specialist Advisory & Intervention Group (SAIG),2,4.4
Spanidea,2,3.4
Buckman,2,3.2
Brown Tech Int.,2,3.6
Brookfield Asset,2,2.5
Sourceease Hr Services,2,3.6
Source Desk Global,2,4.1
Sonata Software,2,3.4
Oasys Cybernatics,2,3.1
Nykaa,2,3.4
Nyasa Enterprise,2,3.4
Nupeak IT Services Pvt Ltd,2,3.3
Nugen Intelligence,2,3.6
Ekaa Analytics,2,3.6
Arena Investors,2,3.1
Arctic Wolf Networks,2,3.1
Arcs Technologies,2,3.6
Trintech,2,4.5
Trillectric,2,3.6
Techneplus Software India,2,3.2
Techify,2,4.2
Techcarrot Fz-llc,2,3.5
Website Developers India,2,2.4
Webs Optimization Software Solution,2,3.1
Webmd Guru,2,3.6
Agiliad,2,3.3
Agiletech Info Solutions,2,4.2
Agaram Infotech,2,3.9
Webential,2,4.4
Web Synergies,2,3.0
Novumgen,2,4.1
Emeritus,2,3.7
Embrace Software,2,3.6
Ele5 Solutions,2,3.6
Novel Patterns,2,4.1
Notion Online Solutions,2,4.1
Norwin Technologies,2,3.6
Nordson Corporation,2,4.0
Nordex Group,2,1.1
Nomura Research Institute India Pvt Ltd ( NRI India ),2,3.2
Nividous Software,2,3.4
Nitrodynamics Aerospace & Defence,2,3.6
Westlisoft Technologies,2,3.9
Aero Flight Technology,2,3.1
"Medocity, Inc",2,4.8
Medline Industries India Private Limited,2,3.7
Fincart Finvest,2,2.3
Finbyz Tech,2,3.4
Navigators Software,2,4.2
Netscribes,2,2.7
Finzly,2,3.5
"Advanced Micro Devices, Inc",2,3.7
Advaiya Solutions,2,3.8
Fleet Management,2,3.9
Flair Labs,2,3.5
Fitfyles,2,3.6
Mediaradar,2,2.5
Mavensworld Training & Advisory Services,2,5.0
Metaforge IT solutions,2,3.6
Merck Sharp & Dohme (MSD),2,3.7
Mercari,2,3.6
Megistron Media,2,4.1
Arizon Infocom Private Limited,2,3.6
Actualize Consulting Engineers,2,3.7
Actowiz Solutions,2,2.8
Actlogica,2,3.6
Across Assist,2,3.0
Wijungle,2,4.1
Nascent Info Technologies,2,2.7
Wpweb Infotech,2,5.0
Worldpay,2,4.1
Elfonze Technologies,2,4.4
First Flight Couriers (FFCL),2,4.6
Navi Technologies,2,3.1
Neuraflash India,2,3.3
Naukri E-hire,2,3.6
Acuity Analytics,2,3.1
Audax Labs,2,2.3
Audacious Minds,2,3.6
Tekskill,2,3.6
Tekplay Systems,2,4.1
Teknuova,2,3.6
Tekmetric,2,3.6
Naukri E Hire Campaign,2,3.6
TekWissen,2,4.9
Essex Lake Group,2,3.3
Auxoai,2,1.8
Tele Tnfotech,2,3.6
Teladoc Health,2,3.2
Esparkbiz Technologies,2,2.3
Esolz Technologies,2,2.4
Matiyas,2,4.8
Flyways Softwares And Solutions,2,3.6
Flyonit Infrastructure,2,3.6
Fly On It India,2,2.0
Esoft Solutions,2,3.6
Masscom Corporation,2,3.6
Mashreq Global Services,2,3.1
Mascot E Services,2,3.6
Masai School,2,4.3
Marsh Risk,2,3.6
Fort Technologies,2,3.6
Equilend,2,3.8
Suventure Services,2,3.6
Sutherland,2,3.4
Uncanny Consulting Services,2,4.5
Stratton Hr,2,3.6
Strategic Business Systems,2,3.6
Stradegi Solutions,2,3.3
Sthapatya Software,2,2.8
Stepinn,2,3.6
Steno House,2,3.6
Bluphlux,2,3.6
Blue Star,2,4.0
NLB Services,2,3.6
NLB Service,2,3.6
Fornax,2,4.5
Maven Marketing,2,4.1
Neura Monks,2,3.6
Foray Software,2,3.5
Fold Health,2,2.4
Marriott,2,4.1
Market Pulse,2,2.7
Mario Elevate Llp,2,3.6
Mariadb,2,2.8
Mapup,2,2.9
Forward Biz,2,3.6
Neuiq Technologies,2,5.0
Fortune 500 IT Services Company,2,3.6
Fortrea Development India,2,3.9
Evonsys India,2,3.3
Xerox Business Solutions Southeast,2,3.7
Elevondata Labs,2,3.9
Madsmania Edutech,2,3.6
Manipal Hospitals,2,4.0
Wildnet Technologies,2,4.5
Wilco Source,2,3.8
Fourty60 - Website Designing & SEO,2,2.3
Aelius Consultants Pvt. Ltd.,2,3.6
Mamaearth,2,3.7
Makunai Global Technologies,2,3.6
MakeMyTrip,2,2.5
Majid Al Futtaim,2,3.1
Aegis Institute Of Cyber Security,2,3.6
Mahiruho Consulting Services,2,4.9
Magneum Technology,2,4.4
Madhda Business Solutions,2,4.4
Eloelo,2,2.9
MWB Technologies,2,2.8
Elite Exceed,2,3.6
MLM Yug,2,3.6
Bombay Play,2,4.6
Xpt Consultancy Software Services,2,2.9
Xpand,2,1.0
Acro Hr Solutions,2,3.6
Acmasoft,2,3.6
Acies Consulting,2,4.0
Achnet,2,3.6
Achiievers Quick Gold Loan,2,4.3
Achiievers Equities,2,2.3
Xiphias Software Technologies,2,4.2
Nice Software Solutions,2,2.8
Fss: Financial Software And Systems,2,3.7
Stantec,2,4.0
Tricona Digital,2,3.6
Square Yards,2,3.5
Treering,2,3.6
Spruce Infotech,2,3.6
Travelwings Com,2,4.2
Tranzeal,2,4.4
Astellas Pharma,2,3.0
Astegic,2,2.8
Texlon,2,2.1
Tethys Technologies,2,3.5
Sprinklr,2,2.9
Yamaha Motor Solutions,2,2.9
Yallo Retail,2,3.6
YMI Ghar Soaps,2,3.6
Future Healthcares,2,2.4
Fuso Glass India,2,3.4
Fusion CX,2,3.2
Nicco Ventures,2,4.9
Fundvice,2,3.5
British Council,2,3.5
Future Tech Enterprise,2,3.6
Nexzu Mobility,2,2.0
MJC Globaltech,2,4.3
MD India Health Insurance TPA Pvt Ltd,2,3.6
Lucideus Tech Pvt Ltd,2,2.5
Bright Future,2,3.2
Lowes Services India Private limited,2,4.0
Brainware University,2,2.9
Locus It Services,2,4.5
Bottle Lab Technologies,2,4.1
Galaxeye Space,2,3.4
M&S Consulting,2,3.5
M&G Global Services,2,3.4
Lytika Co,2,3.6
Lutron Gl Sales,2,3.9
Botminds,2,3.6
Access Healthcare,2,3.7
Galytix Analytics,2,2.2
Xyram Software Solution,2,3.6
Xtag Services,2,4.5
Auctor Corporation,2,3.6
Attulya Bhaarat Software Solution,2,3.6
Attentive Ai,2,3.7
Atlassian,2,3.1
Tesco,2,3.6
Temenos,2,3.2
Adya Wifi Metering,2,3.4
Telefonica,2,4.4
The World Bank,2,3.8
Advatix Apac Logistics,2,3.0
The Mansion,2,5.0
Advanced Risk Analytics,2,1.5
Gboxz Technologies,2,3.6
Eximietas Design,2,4.2
Teikametrics,2,2.3
GainInsights Solutions Pte. Ltd,2,3.5
Gaia Smart Cities,2,2.2
GSR Business Services,2,3.7
Exerevnisi,2,3.6
Netradyne,2,3.1
Lifesight,2,2.8
Lifecell,2,3.3
Liebherr Appliances India,2,3.7
Netedge Computing Solutions,2,2.2
NBFC,2,3.6
N Consulting Global,2,3.6
Netcom Learning,2,3.2
Bizviz Technologies,2,2.0
Startelelogic,2,4.0
Sunrays Image Technology,2,3.7
Nanonets,2,3.6
Etomate Technology,2,1.0
Nam Info Pvt Ltd,2,3.6
Suki Software Solutions,2,3.2
Naaptol Online Shopping Pvt. Ltd.,2,3.3
NVISH,2,3.5
Subhujo Technologies,2,3.6
Blocktxm,2,3.2
Blitzenx,2,3.6
Stri Consulting,2,3.6
Lericon Informatics,2,3.6
Aeris Communications,2,2.8
Ganit Business Solutions,2,3.8
Yoursdesk Bizcon,2,3.6
NR Consulting,2,3.6
Yocreativ,2,3.1
Leading IT Consulting MNC,2,3.6
Leading IT Company,2,3.6
Galderma,2,3.5
Galaxy Health Insurance Company,2,4.3
Leewayhertz Technologies,2,2.8
Leatherman Fashion,2,4.4
Geeksoft,2,3.3
Geeksforgeeks,2,2.9
Geecon Systems,2,3.5
Gear Inc,2,2.7
Wohlig Technology,2,2.6
Lauren Information Technologies,2,3.5
Latent Bridge,2,4.0
Lateetud,2,3.6
Wiztango,2,3.6
Gforce Consulting Solutions,2,3.6
Getondata Solutions,2,3.6
Adient,2,4.0
Adidas,2,3.9
ZF Steering Gear India Ltd.,2,3.6
Abcloudz,2,3.6
Enterprisedb Software,2,3.7
Aays Analytics,2,4.7
ZF,2,3.6
Entero Healthcare Solutions,2,4.1
Yugabyte,2,3.4
Global Foundries Inc,2,3.2
Ensemble Health Partners,2,3.9
Gitlab,2,4.0
Gitakshmi Technologies,2,3.3
LKQ India,2,3.3
L&T Technology Services (LTTS),2,3.6
Kuku Fm,2,3.8
Leading Global Consulting Firm,2,3.6
Geotech Infoservices,2,3.6
Genus Healthcare Solution And It Consulting,2,4.9
Wingify Software,2,3.7
Aarush Impact,2,3.6
Aarti Industries,2,4.1
Aarch Solutions,2,3.6
Evoke HR solutions private limited,2,3.6
Evoke HR solution,2,3.6
Enphase Energy,2,2.6
Euprime Consulting,2,3.6
Euphoric Thought Technologies Pvt Ltd,2,4.7
ZS Associates ( India ) Pvt Ltd,2,3.1
Global Technology Company @ Pune (Kothrud or Baner),2,3.6
Global Technology Company @ Pune,2,3.6
Germane Analytics,2,5.0
Lambda Therapeutic Research,2,3.8
Myndroot,2,3.9
Labcorp,2,4.1
LSI Micro Marketing Services,2,3.6
Tilda,2,4.1
Ascon Infrastrucutre,2,2.2
Ascent E Digit Solutions,2,3.1
Konrad Group,2,4.5
Kompatible Minds,2,3.6
Komodo Health,2,4.1
Kokan Ngo,2,3.1
Koireader Technologies,2,3.9
Koenig Solutions,2,3.4
Myhq,2,4.0
Zeblearn Technologies,2,4.3
Nestle,2,3.7
Global Talent Track,2,3.6
Nile,2,3.3
Techverito Software Solutions,2,4.2
Aventior Digital,2,2.7
The Glove,2,3.6
Avanti Components,2,4.9
The Digital Group Infotech,2,3.4
The Depository Trust & Clearing Corporation (DTCC),2,3.7
The Closing Gap,2,3.6
The British Institutes,2,3.5
The Briminc,2,3.6
Atgeir Solutions,2,4.6
Astreya,2,3.6
Astral Pipes,2,4.0
Techup Labs,2,3.9
Techshu Consultancy,2,3.7
Technum Opus,2,4.6
Globots International Limited,2,3.6
Global Technology Solutions Company @ Pune,2,3.6
Kliento Technologies,2,3.0
Kirloskar Industries,2,4.1
Welocalize,2,4.0
Kimberly-Clark Corporation,2,3.9
Kimberly Clark Hygiene Products,2,4.0
Teksystems,2,3.1
Authentic Staffing Agency,2,3.6
Golden Opportunities Pvt Ltd,2,3.6
Gokaldas Exports,2,3.9
Khatabook,2,3.5
Aurionpro,2,3.5
Kanerika Software,2,4.2
FMC,2,3.9
Zipaworld Innovation,2,3.1
Zinnov Management Consulting,2,3.2
Zimperium Inc.,2,3.1
Ziff Davis,2,3.8
ATS Corporation,2,3.6
ATAIN,2,3.2
Myfollo,2,4.0
Zetwerk,2,4.0
Nila Apps,2,3.3
Multiverse Solutions,2,1.9
Zeomega Infotech,2,3.6
AppVenture.,2,3.6
Apollo Pharmacy,2,3.7
Surya Software Systems,2,3.6
Black & White Engineering Services,2,3.6
Expert Solution Technologies,2,4.2
Sysarc Infomatix,2,3.5
Emids Technologies,2,3.6
Synergyworks,2,4.6
Synergy Maritime,2,4.0
Synergy Group,2,4.5
"Biltrax Const, Data Research Insight",2,1.9
Emicon Advisory Services,2,3.6
TEOCO,2,3.9
Zenvior Technologies,2,3.6
KMK Consulting,2,3.6
KAS Services,2,4.5
Justlead.in,2,3.6
Groupe Credit Agricole,2,3.6
Group Ugx Systems Gurugram,2,3.6
Kennect Solutions,2,3.4
Enflexis Solutions,2,4.4
Energy Exemplar,2,3.2
Grapdes,2,4.3
Kellogg Brown & Root (KBR),2,4.1
Msh Business Consulting,2,3.2
Greyamp Consulting Services,2,1.9
Encodedots,2,4.5
Kantar,2,3.6
Kairos Technologies,2,3.9
NextGen Invent,2,3.4
Aryma Labs,2,4.2
ThoughtWorks,2,3.9
Thornton Tomasetti,2,4.1
Think Hall Training And Consultancy,2,3.6
Assent,2,1.2
Top B2B MNC in Management Consulting Domain,2,3.6
"Top B2B Corporate, Management Consulting Firm",2,3.6
TransOrg,2,2.9
KR It Solutions Bengaluru,2,3.6
Ezeeroll,2,3.6
Gridlogics Technologies,2,4.3
Mystifly Consulting,2,2.5
Axis Finance (AFL),2,3.8
Jupiter Consulting,2,3.6
Mitrata Financial Services,2,3.4
Johnson Electric,2,3.6
Guidepoint,2,3.1
Gruve,2,3.7
Growth Heist,2,3.6
Kamlax Technologies (opc),2,3.6
Mitr Learning Media,2,2.4
Mishipay,2,1.5
Jabil Circuit India,2,4.0
AxionConnect,2,3.7
JK Technology Services,2,3.6
J Brrothers Overseas,2,3.6
Ivy Knowledge Services,2,1.9
Mount Intra Finance,2,3.6
Newton School,2,3.6
Jman Digital Services,2,1.2
Axiametrics,2,3.6
Jio,2,3.6
Jigya Software Services,2,3.2
Syansoft,2,4.0
Swits Digital,2,3.9
Monotype Solutions India Private Limited (India),2,3.3
Biz-metric India,2,3.7
Biz Hero India,2,4.6
Surya Food Agro Limited,2,2.9
Suredrive Assist,2,3.7
Surbhi Finsec,2,3.6
Awiros,2,4.4
Uniplace Overseas,2,3.6
UnifyCloud,2,2.8
Superhuman Race,2,2.5
SuperProcure,2,4.4
Swaran Soft,2,3.2
Swami Vivekananda Institute of Science and Technology (SVIST),2,3.1
Appfillip,2,3.8
Jasper Tech Labs,2,3.6
Bridgestone - Global Capability Center,2,4.0
Bread Financial,2,3.75
Elintex Technologies,2,3.6
AKS Websoft Consulting,2,4.2
New Opportunity Consultancy,2,4.2
Venus Jewel,2,4.3
Jash Data Sciences,2,3.1
Jaguar Security Services,2,4.5
Bootminds Systems,2,3.6
Habuild,2,3.5
HUCON Solutions,2,3.6
HSBC,2,3.6
TechPerspect,2,3.1
HR India Solutions,2,3.6
Book My Tour Now,2,3.4
Irth Solutions,2,3.1
Iris Info,2,3.6
Iris Consultants,2,1.3
Iquanti,2,4.0
Involead,2,2.7
Bonami Software,2,3.7
Itorizon,2,2.9
Zuree Telecom,2,3.8
Zuntra Digital,2,3.9
Zoom Start India,2,3.6
Zoom Info,2,3.6
TechMatrix,2,3.4
Intellinet Systems,2,4.4
Intellify Solutions,2,4.1
FNZ Group,2,3.1
Hellogtx,2,3.6
Addverb Technologies,2,3.5
Inteliment,2,3.8
Intelgic Technologies,2,3.0
Integrity Knowledge Services,2,4.0
Adapty Solutions,2,3.7
Wood India Engineering & Projects,2,3.8
Harbinger Systems,2,3.3
Halewood Laboratories,2,3.3
Haier Appliances,2,3.9
Hackveda,2,3.1
with one of our Level 5 Client,2,3.6
FCI CCM,2,4.4
"AI-driven SaaS for web, mobile and API testing",2,3.6
AI Touch,2,3.5
Mold Masters,2,3.7
Zyoin,2,3.6
Zynoviq Solutions,2,3.6
Zynofus Technologies,2,4.4
Intech Creative Services,2,3.7
Interra Information Technologies,2,3.2
Internal,2,3.6
Intello Labs,2,3.7
AuxoAI,2,3.6
Intellioz Solutions,2,2.6
Automotive Manufacturers (AMPL),2,3.6
Neuronimbus Software Services,2,4.1
Fan Tv Ai,2,3.6
Eli Lilly And Company,2,3.3
ArohaTech,2,4.2
National Australia Bank (NAB),2,3.0
Trafigura,2,3.2
Tradebyte,2,3.6
Tracxn,2,2.6
Tquanta Technologies,2,4.0
quadric.io,2,3.6
Fabric,2,3.6
phData,2,3.9
workxmate,2,3.6
Innovant,2,3.6
Mobikwik,2,3.4
Hexonica,2,4.2
Hetfy Software Solutions,2,3.6
Hersheys,2,4.0
Hermit Coffee,2,3.6
Instance Soft Corp,2,3.6
Mizuho Global Services,2,3.1
Feathersoft Info Solutions,2,3.9
Insights India Relationship Management Services Pvt. Ltd.,2,3.6
Insight Global Technologies,2,3.55
Mindlink Infotech,2,3.6
n,2,3.6
stenohouse,2,3.6
Mindfount Infotech (opc),2,3.6
Nepra Environmental Solutions Technologies,2,3.7
Swaas Systems,2,3.9
Millipixels Interactive Llp,2,4.3
Milliman,2,3.2
Bigtapp,2,2.4
Big4 Company,2,3.6
Synchrony,2,4.3
Symphonyincubator Business Services,2,3.6
Insider Biz,2,3.6
Integra Software Services,2,3.8
Intechnative Systems & Services,2,4.8
Mirketa Software,2,3.1
Ingersoll Rand,2,3.8
Innowise,2,3.5
Innowave360 Consulting Private Limited.,2,3.4
Mirafra,2,3.6
Innover Digital,2,4.3
Innoventes Technologies,2,3.9
Innovative Engineering Products,2,4.9
Innovatexiq Solutions,2,3.6
datavruti,2,3.6
ACV Auctions,2,3.7
ACG,2,3.8
Aeris Infrastructures,2,3.6
client of Anlage,2,3.6
Hoonar Tekwurks Consulting,2,3.4
Innov7 Lab,2,3.6
Neowaretechnology Solutions,2,3.5
Innodel,2,4.5
Inner Eye Consultancy Services,2,3.0
Neoteric Research Consulting Services,2,2.6
World Business Lenders,2,3.8
Workiy Technologies,2,4.8
Hireginie Talent Cloud,2,3.6
Hire Techly Solutions,2,3.6
Workforce Next,2,4.0
Inmobi,2,3.0
Inkrevenue,2,2.7
Ingold Solutions,2,4.5
Infiligence,2,3.6
Workday Inc,2,3.4
Inference Labs,2,3.1
Adecco India,2,3.6
Hof Furniture System,2,4.0
Hocco Industries,2,4.4
Nelito System,2,3.2
Meyrahkee,2,3.6
Hiringeye Solutions,2,3.6
Neev Advisory Research & Consultancy Services,2,3.6
Finnup Solutions,2,4.2
Finlender,2,3.0
Horiba India,2,3.4
e-Labs Infotech,2,3.6
Neerman,2,3.7
Nbits,2,5.0
Mindstech Recruitments,2,3.6
Hollister Medical India,2,4.0
Holcim,2,3.5
FieldAssist,2,3.3
Infocastel,2,4.0
InfoStride,2,3.3
InfoLabz IT Services Pvt. Ltd,2,4.1
Hughes Systique,2,3.7
Stefanini,2,2.7
Hotfoot,2,2.9
Infiniti Research,2,3.3
Indian Service Based Company,2,3.6
Indian School of Development Management (ISDM),2,3.4
Indian School of Business & Finance (ISBF),2,3.6
IndiaNIC,2,3.4
IBS Software Services,2,3.5
IBS Intelligence,2,1.0
India Mortgage Guarantee Corporation (IMGC),2,3.1
Indegene,2,3.3
State Street,2,3.5
electronics,2,3.6
edWisor.com,2,3.0
A client of Symphoni HR,2,3.6
A client of Cloud Talent Search,2,3.6
A Private Sector Bank,2,3.6
A MNC Client of GSN,2,3.6
A Leading IT Services Company,2,3.6
IHFL,2,3.7
Stanra Tech Solutions,2,3.6
Ikrux,2,3.6
Ikigai Labs,2,3.6
Iitjobs Inc.,2,3.6
Iiedm,2,3.7
Stanley Black & Decker,2,3.7
Hypersonix,2,2.6
Hyperion Materials & Technologies,2,3.9
Huzzle,2,3.6
Husky Injection Molding Systems,2,4.2
Stackadroit,2,4.3
Brainwonders,2,3.9
Anyworks In,2,3.6
ISEARCH CONSULTING SERVICES,2,3.6
Anupam Technologies,2,3.5
Navtor,2,2.4
University Living Accommodation,2,3.9
INFINX,2,3.7
Unitrestech Solutions,2,3.6
IIFL Home Finance,2,3.75
United Hr Solutions,2,4.1
Icit,2,3.8
Incedo,2,2.9
Fiddich Consulting,2,3.6
Impactqa,2,2.9
Impact Analytics,2,4.0
IHG Hotels & Resorts,2,3.6
Iboon Technologies,2,4.6
3Pillar,2,3.1
3P HR Consultants,2,3.6
3M India,2,3.9
others,2,3.6
IT Services and Consulting,2,3.6
IT Monteur,2,1.8
IT By Design,2,3.1
